fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec;osszesitett_nev;also_korlat;realtiv_elteres
3d_class4_1000_04.csv;dot_product2;lada;exponential;335;7,1659;dot_product2_lada_exponential;313;0,0703
3d_class4_1000_03.csv;dot_product2;lada;reciprocal_average;337;7,107;dot_product2_lada_reciprocal_average;315;0,0698
3d_class4_1000_01.csv;dot_product2;lada;reciprocal_average;331;7,0966;dot_product2_lada_reciprocal_average;310;0,0677
3d_class4_1000_03.csv;dot_product2;lada;average;338;7,0531;dot_product2_lada_average;315;0,0730
3d_class4_1000_04.csv;dot_product2;lada;reciprocal_average;333;7,0168;dot_product2_lada_reciprocal_average;313;0,0639
3d_class4_1000_04.csv;dot_product2;lada;average;335;6,968;dot_product2_lada_average;313;0,0703
3d_class4_1000_01.csv;dot_product2;lada;exponential;331;6,9313;dot_product2_lada_exponential;310;0,0677
3d_class4_1000_03.csv;dot_product2;lada;exponential;336;6,9233;dot_product2_lada_exponential;315;0,0667
3d_class3_1000_04.csv;dot_product2;lada;exponential;539;6,8896;dot_product2_lada_exponential;505;0,0673
3d_class6_1000_03.csv;l2_norm_of_slacks;lada;exponential;334;6,8351;l2_norm_of_slacks_lada_exponential;301;0,1096
3d_class1_1000_03.csv;dot_product2;lada;reciprocal_average;605;6,8333;dot_product2_lada_reciprocal_average;513;0,1793
3d_class6_1000_01.csv;l2_norm_of_slacks;lada;average;334;6,8248;l2_norm_of_slacks_lada_average;301;0,1096
3d_class6_1000_01.csv;l2_norm_of_slacks;lada;reciprocal_average;334;6,8154;l2_norm_of_slacks_lada_reciprocal_average;301;0,1096
3d_class6_1000_01.csv;l2_norm_of_slacks;lada;exponential;334;6,8025;l2_norm_of_slacks_lada_exponential;301;0,1096
3d_class1_1000_01.csv;dot_product2;lada;reciprocal_average;632;6,8005;dot_product2_lada_reciprocal_average;518;0,2201
3d_class1_1000_02.csv;dot_product2;lada;reciprocal_average;610;6,794;dot_product2_lada_reciprocal_average;513;0,1891
3d_class3_1000_03.csv;dot_product2;lada;reciprocal_average;573;6,791;dot_product2_lada_reciprocal_average;503;0,1392
3d_class6_1000_03.csv;l2_norm_of_slacks;lada;reciprocal_average;334;6,7755;l2_norm_of_slacks_lada_reciprocal_average;301;0,1096
3d_class1_1000_01.csv;dot_product2;lada;average;633;6,7642;dot_product2_lada_average;518;0,2220
3d_class1_1000_01.csv;dot_product2;lada;exponential;634;6,7451;dot_product2_lada_exponential;518;0,2239
3d_class3_1000_04.csv;dot_product2;lada;average;540;6,6937;dot_product2_lada_average;505;0,0693
3d_class6_1000_02.csv;l2_norm_of_slacks;lada;reciprocal_average;334;6,6833;l2_norm_of_slacks_lada_reciprocal_average;300;0,1133
3d_class3_1000_03.csv;dot_product2;lada;exponential;537;6,673;dot_product2_lada_exponential;503;0,0676
3d_class6_1000_02.csv;l2_norm_of_slacks;lada;exponential;334;6,6688;l2_norm_of_slacks_lada_exponential;300;0,1133
3d_class6_1000_04.csv;dot_product1;lada;exponential;334;6,648;dot_product1_lada_exponential;301;0,1096
3d_class6_1000_04.csv;l2_norm_of_slacks;lada;exponential;334;6,6388;l2_norm_of_slacks_lada_exponential;301;0,1096
3d_class6_1000_03.csv;l2_norm_of_slacks;lada;average;334;6,6338;l2_norm_of_slacks_lada_average;301;0,1096
3d_class1_1000_03.csv;dot_product2;lada;exponential;604;6,6239;dot_product2_lada_exponential;513;0,1774
3d_class6_1000_02.csv;l2_norm_of_slacks;lada;average;334;6,6172;l2_norm_of_slacks_lada_average;300;0,1133
3d_class3_1000_01.csv;dot_product2;lada;average;542;6,5973;dot_product2_lada_average;508;0,0669
3d_class6_1000_04.csv;l2_norm_of_slacks;lada;average;334;6,5924;l2_norm_of_slacks_lada_average;301;0,1096
3d_class1_1000_02.csv;dot_product2;lada;average;608;6,5743;dot_product2_lada_average;513;0,1852
3d_class6_1000_01.csv;dot_product1;lada;exponential;334;6,5647;dot_product1_lada_exponential;301;0,1096
3d_class6_1000_04.csv;dot_product1;lada;average;334;6,5566;dot_product1_lada_average;301;0,1096
3d_class6_1000_02.csv;dot_product1;lada;average;334;6,5507;dot_product1_lada_average;300;0,1133
3d_class3_1000_03.csv;dot_product2;lada;average;537;6,5501;dot_product2_lada_average;503;0,0676
3d_class3_1000_01.csv;dot_product2;lada;reciprocal_average;540;6,5494;dot_product2_lada_reciprocal_average;508;0,0630
3d_class3_1000_02.csv;dot_product2;lada;reciprocal_average;573;6,5485;dot_product2_lada_reciprocal_average;503;0,1392
3d_class3_1000_01.csv;dot_product2;lada;exponential;540;6,5437;dot_product2_lada_exponential;508;0,0630
3d_class6_1000_04.csv;l2_norm_of_slacks;lada;reciprocal_average;334;6,5304;l2_norm_of_slacks_lada_reciprocal_average;301;0,1096
3d_class1_1000_04.csv;dot_product2;lada;exponential;591;6,4929;dot_product2_lada_exponential;510;0,1588
3d_class3_1000_02.csv;dot_product2;lada;exponential;538;6,4803;dot_product2_lada_exponential;503;0,0696
3d_class3_1000_04.csv;dot_product2;lada;reciprocal_average;576;6,4769;dot_product2_lada_reciprocal_average;505;0,1406
3d_class6_1000_02.csv;dot_product1;lada;exponential;334;6,4768;dot_product1_lada_exponential;300;0,1133
3d_class6_1000_03.csv;dot_product1;lada;exponential;334;6,4763;dot_product1_lada_exponential;301;0,1096
3d_class6_1000_02.csv;dot_product1;lada;reciprocal_average;334;6,4697;dot_product1_lada_reciprocal_average;300;0,1133
3d_class1_1000_04.csv;dot_product2;lada;average;591;6,4495;dot_product2_lada_average;510;0,1588
3d_class1_1000_02.csv;dot_product2;lada;exponential;609;6,4325;dot_product2_lada_exponential;513;0,1871
3d_class6_1000_04.csv;dot_product1;lada;reciprocal_average;334;6,4194;dot_product1_lada_reciprocal_average;301;0,1096
